Date&Time(UTC),Temperature(°C),Humidity(%),Pressure(hPa),Illuminance(lx),Full(RAW),Visible(RAW),Infrared(RAW),
2022-10-18T20:27:23,25.66,48.50,978.71,0.034915,1352,828,524,
2022-10-18T20:27:53,25.65,48.40,978.80,0.031755,956,664,292,
2022-10-18T20:28:23,25.65,48.40,978.80,0.032592,974,679,295,
2022-10-18T20:28:53,25.64,48.20,978.79,0.033479,982,691,291,
2022-10-18T20:29:23,25.63,48.20,978.79,0.037592,1146,791,355,
2022-10-18T20:29:53,25.61,48.10,978.78,0.032811,1002,691,311,
2022-10-18T20:30:23,25.57,48.10,978.78,0.032088,969,672,297,
2022-10-18T20:30:53,25.57,48.20,978.78,0.033317,1004,697,307,
2022-10-18T20:31:23,25.55,48.20,978.77,0.032163,987,679,308,
2022-10-18T20:31:53,25.53,48.20,978.76,0.032524,956,672,284,
2022-10-18T20:32:23,25.51,48.20,978.76,0.032579,983,682,301,
2022-10-18T20:32:53,25.47,48.20,978.76,0.033750,1014,705,309,
2022-10-18T20:33:23,25.44,48.20,978.77,0.035645,1376,844,532,
2022-10-18T20:33:53,25.44,48.30,978.77,0.033375,1008,699,309,
2022-10-18T20:34:23,25.42,48.30,978.77,0.032977,974,683,291,
2022-10-18T20:34:53,25.44,48.30,978.77,0.032488,980,680,300,
2022-10-18T20:35:23,25.40,48.30,978.75,0.032572,966,676,290,
2022-10-18T20:35:53,25.38,48.40,978.75,0.032579,983,682,301,
2022-10-18T20:36:23,25.38,48.40,978.74,0.032760,1024,698,326,
2022-10-18T20:36:53,25.37,48.40,978.74,0.034531,1008,711,297,
2022-10-18T20:37:23,25.34,48.50,978.73,0.032893,1014,696,318,
2022-10-18T20:37:53,25.34,48.50,978.73,0.033086,1011,697,314,
2022-10-18T20:38:23,25.33,48.50,978.73,0.033560,991,695,296,
2022-10-18T20:38:53,25.33,48.50,978.72,0.039612,1132,807,325,
2022-10-18T20:39:23,25.33,48.60,978.71,0.032715,1085,718,367,
2022-10-18T20:39:53,25.30,48.60,978.72,0.032713,979,682,297,
2022-10-18T20:40:23,25.28,48.60,978.69,0.032567,969,677,292,
2022-10-18T20:40:53,25.28,48.60,978.70,0.032350,964,673,291,
2022-10-18T20:41:23,25.26,48.70,978.71,0.032163,961,670,291,
2022-10-18T20:41:53,25.26,48.70,978.71,0.031513,946,658,288,
2022-10-18T20:42:23,25.26,48.70,978.72,0.030624,947,649,298,
2022-10-18T20:42:53,25.26,48.70,978.72,0.031234,940,653,287,
2022-10-18T20:43:23,25.25,48.80,978.72,0.032078,1016,688,328,
2022-10-18T20:43:53,25.27,48.80,978.73,0.029975,935,638,297,
2022-10-18T20:44:23,25.24,48.80,978.72,0.030220,942,643,299,
2022-10-18T20:44:53,25.23,48.80,978.73,0.030126,942,642,300,
2022-10-18T20:45:23,25.21,48.80,978.73,0.029817,937,637,300,
2022-10-18T20:45:53,25.22,48.80,978.73,0.030126,942,642,300,
2022-10-18T20:46:23,25.21,48.90,978.74,0.030033,942,641,301,
2022-10-18T20:46:53,25.20,48.90,978.73,0.030882,942,650,292,
2022-10-18T20:47:23,25.18,49.00,978.73,0.030784,945,650,295,
2022-10-18T20:47:53,25.17,49.00,978.73,0.041234,2193,1146,1047,
2022-10-18T20:48:23,25.17,49.00,978.75,0.030805,956,654,302,
2022-10-18T20:48:53,25.17,49.00,978.75,0.030550,1033,677,356,
2022-10-18T20:49:23,25.17,49.00,978.76,0.030733,970,658,312,
2022-10-18T20:49:53,25.17,49.00,978.76,0.030117,960,648,312,
2022-10-18T20:50:23,25.17,49.10,978.77,0.030927,961,657,304,
2022-10-18T20:50:53,25.16,49.10,978.75,0.032028,997,681,316,
2022-10-18T20:51:23,25.14,49.10,978.76,0.044509,1298,916,382,
2022-10-18T20:51:53,25.14,49.20,978.77,0.051137,1653,1108,545,
2022-10-18T20:52:23,25.13,49.20,978.78,0.031996,998,681,317,
2022-10-18T20:52:53,25.13,49.10,978.78,0.035374,1403,849,554,
2022-10-18T20:53:23,25.12,49.20,978.80,0.032038,985,677,308,
2022-10-18T20:53:53,25.12,49.20,978.80,0.031698,978,671,307,
2022-10-18T20:54:23,25.13,49.20,978.80,0.032068,987,678,309,
2022-10-18T20:54:53,25.12,49.20,978.80,0.031909,989,677,312,
2022-10-18T20:55:23,25.11,49.30,978.81,0.032283,1348,795,553,
2022-10-18T20:55:53,25.11,49.30,978.82,0.031914,983,675,308,
2022-10-18T20:56:23,25.10,49.30,978.81,0.031659,988,674,314,
2022-10-18T20:56:53,25.10,49.30,978.82,0.031785,987,675,312,
2022-10-18T20:57:23,25.10,49.30,978.81,0.033161,1032,705,327,
2022-10-18T20:57:53,25.11,49.30,978.81,0.031482,973,667,306,
2022-10-18T20:58:23,25.11,49.40,978.80,0.030207,966,651,315,
2022-10-18T20:58:53,25.11,49.30,978.80,0.030246,950,646,304,
2022-10-18T20:59:23,25.10,49.30,978.80,0.029849,1051,675,376,
2022-10-18T20:59:53,25.10,49.30,978.80,0.029593,953,640,313,
