Date&Time(UTC),Temperature(Â°C),Humidity(%),Pressure(hPa),Illuminance(lx),Full(RAW),Visible(RAW),Infrared(RAW),,,,
2022-10-18 20:27:23,"25,66","48,5","978,71","0,034915",1352,828,524,,,,
2022-10-18 20:27:53,"25,65","48,4","978,8","0,031755",956,664,292,,,,
2022-10-18 20:28:23,"25,65","48,4","978,8","0,032592",974,679,295,,,,
2022-10-18 20:28:53,"25,64","48,2","978,79","0,033479",982,691,291,,,,
2022-10-18 20:29:23,"25,63","48,2","978,79","0,037592",1146,791,355,,,,
2022-10-18 20:29:53,"25,61","48,1","978,78","0,032811",1002,691,311,,,,
2022-10-18 20:30:23,"25,57","48,1","978,78","0,032088",969,672,297,,,,
2022-10-18 20:30:53,"25,57","48,2","978,78","0,033317",1004,697,307,,,,
2022-10-18 20:31:23,"25,55","48,2","978,77","0,032163",987,679,308,,,,
2022-10-18 20:31:53,"25,53","48,2","978,76","0,032524",956,672,284,,,,
2022-10-18 20:32:23,"25,51","48,2","978,76","0,032579",983,682,301,,,,
2022-10-18 20:32:53,"25,47","48,2","978,76","0,03375",1014,705,309,,,,
2022-10-18 20:33:23,"25,44","48,2","978,77","0,035645",1376,844,532,,,,
2022-10-18 20:33:53,"25,44","48,3","978,77","0,033375",1008,699,309,,,,
2022-10-18 20:34:23,"25,42","48,3","978,77","0,032977",974,683,291,,,,
2022-10-18 20:34:53,"25,44","48,3","978,77","0,032488",980,680,300,,,,
2022-10-18 20:35:23,"25,4","48,3","978,75","0,032572",966,676,290,,,,
2022-10-18 20:35:53,"25,38","48,4","978,75","0,032579",983,682,301,,,,
2022-10-18 20:36:23,"25,38","48,4","978,74","0,03276",1024,698,326,,,,
2022-10-18 20:36:53,"25,37","48,4","978,74","0,034531",1008,711,297,,,,
2022-10-18 20:37:23,"25,34","48,5","978,73","0,032893",1014,696,318,,,,
2022-10-18 20:37:53,"25,34","48,5","978,73","0,033086",1011,697,314,,,,
2022-10-18 20:38:23,"25,33","48,5","978,73","0,03356",991,695,296,,,,
2022-10-18 20:38:53,"25,33","48,5","978,72","0,039612",1132,807,325,,,,
2022-10-18 20:39:23,"25,33","48,6","978,71","0,032715",1085,718,367,,,,
2022-10-18 20:39:53,"25,3","48,6","978,72","0,032713",979,682,297,,,,
2022-10-18 20:40:23,"25,28","48,6","978,69","0,032567",969,677,292,,,,
2022-10-18 20:40:53,"25,28","48,6","978,7","0,03235",964,673,291,,,,
2022-10-18 20:41:23,"25,26","48,7","978,71","0,032163",961,670,291,,,,
2022-10-18 20:41:53,"25,26","48,7","978,71","0,031513",946,658,288,,,,
2022-10-18 20:42:23,"25,26","48,7","978,72","0,030624",947,649,298,,,,
2022-10-18 20:42:53,"25,26","48,7","978,72","0,031234",940,653,287,,,,
2022-10-18 20:43:23,"25,25","48,8","978,72","0,032078",1016,688,328,,,,
2022-10-18 20:43:53,"25,27","48,8","978,73","0,029975",935,638,297,,,,
2022-10-18 20:44:23,"25,24","48,8","978,72","0,03022",942,643,299,,,,
2022-10-18 20:44:53,"25,23","48,8","978,73","0,030126",942,642,300,,,,
2022-10-18 20:45:23,"25,21","48,8","978,73","0,029817",937,637,300,,,,
2022-10-18 20:45:53,"25,22","48,8","978,73","0,030126",942,642,300,,,,
2022-10-18 20:46:23,"25,21","48,9","978,74","0,030033",942,641,301,,,,
2022-10-18 20:46:53,"25,2","48,9","978,73","0,030882",942,650,292,,,,
2022-10-18 20:47:23,"25,18",49,"978,73","0,030784",945,650,295,,,,
2022-10-18 20:47:53,"25,17",49,"978,73","0,041234",2193,1146,1047,,,,
2022-10-18 20:48:23,"25,17",49,"978,75","0,030805",956,654,302,,,,
2022-10-18 20:48:53,"25,17",49,"978,75","0,03055",1033,677,356,,,,
2022-10-18 20:49:23,"25,17",49,"978,76","0,030733",970,658,312,,,,
2022-10-18 20:49:53,"25,17",49,"978,76","0,030117",960,648,312,,,,
2022-10-18 20:50:23,"25,17","49,1","978,77","0,030927",961,657,304,,,,
2022-10-18 20:50:53,"25,16","49,1","978,75","0,032028",997,681,316,,,,
2022-10-18 20:51:23,"25,14","49,1","978,76","0,044509",1298,916,382,,,,
2022-10-18 20:51:53,"25,14","49,2","978,77","0,051137",1653,1108,545,,,,
2022-10-18 20:52:23,"25,13","49,2","978,78","0,031996",998,681,317,,,,
2022-10-18 20:52:53,"25,13","49,1","978,78","0,035374",1403,849,554,,,,
2022-10-18 20:53:23,"25,12","49,2","978,8","0,032038",985,677,308,,,,
2022-10-18 20:53:53,"25,12","49,2","978,8","0,031698",978,671,307,,,,
2022-10-18 20:54:23,"25,13","49,2","978,8","0,032068",987,678,309,,,,
2022-10-18 20:54:53,"25,12","49,2","978,8","0,031909",989,677,312,,,,
2022-10-18 20:55:23,"25,11","49,3","978,81","0,032283",1348,795,553,,,,
2022-10-18 20:55:53,"25,11","49,3","978,82","0,031914",983,675,308,,,,
2022-10-18 20:56:23,"25,1","49,3","978,81","0,031659",988,674,314,,,,
2022-10-18 20:56:53,"25,1","49,3","978,82","0,031785",987,675,312,,,,
2022-10-18 20:57:23,"25,1","49,3","978,81","0,033161",1032,705,327,,,,
2022-10-18 20:57:53,"25,11","49,3","978,81","0,031482",973,667,306,,,,
2022-10-18 20:58:23,"25,11","49,4","978,8","0,030207",966,651,315,,,,
2022-10-18 20:58:53,"25,11","49,3","978,8","0,030246",950,646,304,,,,
2022-10-18 20:59:23,"25,1","49,3","978,8","0,029849",1051,675,376,,,,
2022-10-18 20:59:53,"25,1","49,3","978,8","0,029593",953,640,313,,,,
2022-10-18 21:00:23,"25,1","49,4","978,8","0,029387",927,629,298,,,,
2022-10-18 21:00:53,"25,09","49,4","978,8","0,028491",923,618,305,,,,
2022-10-18 21:01:23,"25,1","49,4","978,81","0,029358",922,627,295,,,,
2022-10-18 21:01:53,"25,1","49,4","978,8","0,029417",929,630,299,,,,
2022-10-18 21:02:23,"25,09","49,4","978,8","0,029781",947,640,307,,,,
2022-10-18 21:02:53,"25,09","49,4","978,8","0,029757",933,635,298,,,,
2022-10-18 21:03:23,"25,11","49,4","978,81","0,029072",949,633,316,,,,
2022-10-18 21:03:53,"25,1","49,4","978,82","0,028215",923,615,308,,,,
2022-10-18 21:04:23,"25,09","49,4","978,83","0,028398",929,619,310,,,,
2022-10-18 21:04:53,"25,08","49,5","978,83","0,029048",920,623,297,,,,
2022-10-18 21:05:23,"25,07","49,5","978,84","0,029018",918,622,296,,,,
2022-10-18 21:05:53,"25,08","49,5","978,83","0,02905",917,622,295,,,,
2022-10-18 21:06:23,"25,08","49,5","978,82","0,03031",948,646,302,,,,
2022-10-18 21:06:53,"25,07","49,5","978,83","0,02966",939,636,303,,,,
2022-10-18 21:07:23,"25,07","49,5","978,82","0,029355",928,629,299,,,,
2022-10-18 21:07:53,"25,06","49,5","978,81","0,029263",925,627,298,,,,
2022-10-18 21:08:23,"25,06","49,5","978,81","0,028735",936,625,311,,,,
2022-10-18 21:08:53,"25,07","49,6","978,8","0,032828",1130,734,396,,,,
2022-10-18 21:09:23,"25,06","49,6","978,81","0,030482",978,658,320,,,,
2022-10-18 21:09:53,"25,06","49,6","978,8","0,029044",929,626,303,,,,
2022-10-18 21:10:23,"25,06","49,6","978,79","0,02877",917,619,298,,,,
2022-10-18 21:10:53,"25,05","49,6","978,8","0,028189",897,606,291,,,,
2022-10-18 21:11:23,"25,04","49,6","978,8","0,027943",893,602,291,,,,
2022-10-18 21:11:53,"25,03","49,6","978,8","0,033907",1623,894,729,,,,
2022-10-18 21:12:23,"25,03","49,6","978,8","0,028125",905,608,297,,,,
2022-10-18 21:12:53,"25,03","49,6","978,8","0,028342",901,609,292,,,,
2022-10-18 21:13:23,"25,04","49,7","978,81","0,029108",924,625,299,,,,
2022-10-18 21:13:53,"25,03","49,7","978,81","0,029043",932,627,305,,,,
2022-10-18 21:14:23,"25,03","49,7","978,82","0,029752",942,638,304,,,,
2022-10-18 21:14:53,"25,02","49,7","978,81","0,028736",930,623,307,,,,
2022-10-18 21:15:23,"25,02","49,7","978,83","0,028955",920,622,298,,,,
2022-10-18 21:16:31,"25,06","49,7","978,82","0,029355",928,629,299,,,,
2022-10-18 21:17:01,"25,07","49,7","978,81","0,029225",962,639,323,,,,
2022-10-18 21:17:31,"25,07","49,8","978,82","0,027791",886,598,288,,,,
2022-10-18 21:18:01,"25,04","49,8","978,84","0,029863",1182,716,466,,,,
2022-10-18 21:18:31,"25,03","49,8","978,84","0,026073",852,568,284,,,,
2022-10-18 21:19:01,"25,03","49,8","978,84","0,025828",842,562,280,,,,
2022-10-18 21:19:31,"25,03","49,8","978,85","0,027633",900,601,299,,,,
2022-10-18 21:20:01,"25,03","49,8","978,85","0,025556",854,563,291,,,,
2022-10-18 21:20:31,"25,02","49,8","978,85","0,025614",834,557,277,,,,
2022-10-18 21:21:01,"25,02","49,8","978,82","0,027351",996,629,367,,,,
2022-10-18 21:21:31,"25,01","49,8","978,83","0,02589",855,567,288,,,,
2022-10-18 21:22:01,"25,01","49,8","978,82","0,026134",847,567,280,,,,
2022-10-18 21:22:31,"25,01","49,8","978,8","0,026869",871,583,288,,,,
2022-10-18 21:23:01,"25,01","49,8","978,8","0,032979",1798,928,870,,,,
2022-10-18 21:23:31,25,"49,8","978,79","0,026777",871,582,289,,,,
2022-10-18 21:24:01,25,"49,8","978,8","0,027971",1105,670,435,,,,
2022-10-18 21:24:31,25,"49,8","978,8","0,025308",832,553,279,,,,
2022-10-18 21:25:01,25,"49,8","978,8","0,031517",1444,813,631,,,,
2022-10-18 21:25:31,25,"49,8","978,78","0,025376",857,562,295,,,,
2022-10-18 21:26:01,25,"49,8","978,77","0,025981",849,566,283,,,,
2022-10-18 21:26:31,"24,99","49,9","978,78","0,025526",855,563,292,,,,
2022-10-18 21:27:01,"25,02","49,9","978,75","0,025767",847,563,284,,,,
